Player, Score
Alex Tanguay,0.346419321
Wilf Paiement,0.345736709
David Krejci,0.345700029
Alexei Yashin,0.344404668
Tyler Seguin,0.343906851
Shane Doan,0.343669333
Mike Ridley,0.343562831
Aleksander Barkov,0.343386394
Rick Kehoe,0.343098175
Serge Savard,0.342994542
Brent Burns,0.342130308
Jonathan Marchessault,0.3415028
Scott Young,0.341137824
Syl Apps,0.339107734
Rob Blake,0.337806477
Petr Sykora,0.337185366
Ralph Backstrom,0.336888043
Taylor Hall,0.336350358
Eddie Olczyk,0.336171951
Ryan Smyth,0.335886176
Paul Maclean,0.33507366
Garry Unger,0.333896562
Rene Robert,0.333406984
Johnny Gaudreau,0.332982567
Mike Bullard,0.332684908
Thomas Vanek,0.332282554
Logan Couture,0.332024579
Thomas Steen,0.331915517
Brayden Point,0.3313985
Dave Christian,0.3312259
George Armstrong,0.330792753
Barry Pederson,0.329543254
Sergei Zubov,0.329517268
Jean Pronovost,0.329494983
Guy Lapointe,0.32941932
Miroslav Satan,0.329209063
Pit Martin,0.329171619
Anton Stastny,0.328777145
Danny Gare,0.328633531
Paul Stastny,0.328380057
Daniel Brière,0.327893345
Gary Suter,0.327092465
Dick Duff,0.326805823
Phil Goyette,0.326170006
Dean Prentice,0.325049811
Scott Gomez,0.324482599
Milt Schmidt,0.324006945
Chris Kunitz,0.323845637
Patrick Sharp,0.323659088
Ray Sheppard,0.323496744
Mitchell Marner,0.322783478
Russ Courtnall,0.322358531
Mario Tremblay,0.322156148
Cory Stillman,0.321997543
Scott Mellanby,0.321511583
Saku Koivu,0.321118958
Sid Abel,0.319606528
Vladimir Tarasenko,0.319541933
Bobby Holik,0.319159591
Mark Scheifele,0.318205586
Sergei Gonchar,0.318045451
David Perron,0.317343379
Bob Bourne,0.317109117
Bert Olmstead,0.316561666
Dave Gagner,0.316208604
Greg Adams,0.316151061
Kris Letang,0.315664824
Dan Quinn,0.31556878
Matt Duchene,0.315167971
Aurel Joliat,0.315057092
Roy Conacher,0.314534929
Bob Pulford,0.314188862
Igor Larionov,0.313513446
Jim Pappin,0.312858168
Bob Nevin,0.312801912
Alexei Zhamnov,0.312679545
Murray Craven,0.312490782
Pierre Pilote,0.312180353
Mike Foligno,0.312085329
Steve Duchesne,0.311822523
Frank Boucher,0.311725608
Bobby Carpenter,0.311687091
Martin Straka,0.310831717
T.J. Oshie,0.310824622
Brian Rolston,0.31046348
Marc Savard,0.310434394
Kevin Dineen,0.309855197
Brian Sutter,0.309592676
Guy Chouinard,0.309438952
Vic Hadfield,0.308978921
Mike Rogers,0.308368917
Dustin Brown,0.308210427
Petr Nedved,0.308142698
Max Pacioretty,0.307898496
Matt Cullen,0.307842188
Todd Bertuzzi,0.30745703
Mark Stone,0.306678896
Mark Howe,0.306476634
Jimmy Carson,0.305147761
Jamie Langenbrunner,0.304660928
Simon Gagne,0.304600496
Jere Lehtinen,0.304524756
Jakub Voracek,0.303947939
Craig Simpson,0.303893162
Chris Drury,0.30353648
Jason Pominville,0.303434759
Steve Sullivan,0.303230197
Petr Klima,0.302827526
Mike Ribeiro,0.302024945
Mel Bridgman,0.302007404
Syd Howe,0.301817237
Gabriel Landeskog,0.301619747
Jonathan Huberdeau,0.301396915
Zdeno Chara,0.300224374
Dennis Hull,0.30018259
Hakan Loob,0.29975374
Jake Guentzel,0.299638988
Mika Zibanejad,0.299395286
Mike Krushelnyski,0.299277188
Wendel Clark,0.299029597
Eddie Shore,0.298582328
Steve Vickers,0.298195188
Adam Graves,0.298030014
Kelly Kisio,0.297796345
Tony McKegney,0.297269674
Vinny Prospal,0.297138197
Pierre Mondou,0.296929082
Sebastian Aho,0.296729466
Doug Bentley,0.296723171
Shayne Corson,0.296502799
Tomas Holmstrom,0.29643994
Robert Lang,0.295892823
Filip Forsberg,0.295788141
Drew Doughty,0.295489552
Craig Ramsay,0.294788801
Thomas Gradin,0.294698388
Roman Josi,0.294640692
Don McKenney,0.294344729
Bobby Nystrom,0.294343953
Jordan Eberle,0.29430421
Matthew Tkachuk,0.29411461
Ryan Nugent-Hopkins,0.293345862
John Anderson,0.293295961
Stan Smyl,0.293254091
Geoff Sanderson,0.29316425
Glen Murray,0.292461271
Buddy O'Connor,0.291898347
Donnie Marshall,0.291863926
Yvon Lambert,0.291518483
Kyle Connor,0.291504122
Andrew Brunette,0.291105529
Fred Stanfield,0.291034693
Mathieu Schneider,0.290933355
Jack Eichel,0.290821337
Scott Hartnell,0.290678506
Ron Duguay,0.290553989
Ryan Walter,0.290373653
Ulf Dahlen,0.290211557
Ron Ellis,0.290145895
Red Berenson,0.28973503
Dave Poulin,0.289259654
Patrik Sundstrom,0.289181403
Michael Cammalleri,0.288785674
Walt Tkaczuk,0.288726937
Evgeny Kuznetsov,0.288393824
Jordan Staal,0.287805577
Martin Gelinas,0.287480359
Troy Murray,0.286775151
Olli Jokinen,0.286620597
Murray Oliver,0.286616643
Bobby Schmautz,0.28648133
Don Lever,0.286437818
Tony Tanti,0.286339431
Robert Reichel,0.28621561
Borje Salming,0.285926884
Martin Havlat,0.285726021
Brian Gionta,0.285514617
Tom Fergus,0.285369423
Mark Napier,0.28533537
Keith Primeau,0.284984244
Brian Mullen,0.284708055
Kenny Wharram,0.284684627
Paul Reinhart,0.284196743
John Cullen,0.283735459
Brayden Schenn,0.283307354
Bengt-Ake Gustafsson,0.283111322
Valeri Kamensky,0.282811597
Nazem Kadri,0.282791474
Dmitri Khristich,0.282697869
Shep Mayer,0.282615905
Evander Kane,0.282569019
Michael Nylander,0.282517043
Joe Murphy,0.281950836
Jeff Skinner,0.281870603
Charlie Conacher,0.281473002
Frank Nighbor,0.280786395
Gordie Drillon,0.280781127
Reed Larson,0.280710796
Bryan Smolinski,0.280621743
Sweeney Schriner,0.280612638
Daymond Langkow,0.280246834
Ryan Kesler,0.280203483
Patric Hornqvist,0.280123904
Brent Ashton,0.280059891
Real Cloutier,0.279816249
Doug Risebrough,0.279440793
Derek King,0.279032996
Bob MacMillan,0.279024895
Andrew Cassels,0.27895115
Randy Carlyle,0.278945921
Harry Cameron,0.27893383
Peter Zezel,0.278788839
Danny Grant,0.278693814
Bill Mosienko,0.277734049
Mikko Koivu,0.277698377
James Neal,0.277675187
Mats Zuccarello,0.277670492
Ed Westfall,0.277634446
J.T. Miller,0.277472081
Tim Young,0.277420877
Ross Lonsberry,0.27709732
John Carlson,0.277062903
Kirill Kaprizov,0.276971855
Gary Dornhoefer,0.276748925
Camille Henry,0.276709137
Alexander Semin,0.27653674
Don Maloney,0.275789897
Jeff Brown,0.275631483
Steve Payne,0.274922286
Kevin Hatcher,0.274806955
J.P. Parise,0.274702002
Terry O'Reilly,0.274701025
James van Riemsdyk,0.274675509
Babe Dye,0.27459463
Bill Goldsworthy,0.274521155
Mike Richards,0.274483344
Jozef Stumpel,0.274302248
Blaine Stoughton,0.274249221
Mickey Redmond,0.274144202
Mike Ricci,0.274120021
Alexander Steen,0.274082295
Gregg Sheppard,0.273981528
Sandis Ozolinsh,0.273754597
Shawn McEachern,0.273586969
Syl Apps,0.273431833
Doug Mohns,0.273393947
Dale McCourt,0.273276383
Rejean Houle,0.272782186
Claude Larose,0.272455489
Busher Jackson,0.272417802
Al MacAdam,0.27225376
Marty Barry,0.27208506
Michal Pivonka,0.271600291
Derek Sanderson,0.27148218
Harry Watson,0.270913745
Chris Kreider,0.270732878
Clint Smith,0.270576901
Dave Babych,0.270250368
Jason Robertson,0.269847362
Mike Walton,0.269756304
Ondrej Palat,0.269720227
Elias Pettersson,0.269531579
John McKenzie,0.269503895
Bill Cook,0.269457721
William Nylander,0.26917555
Alex Pietrangelo,0.269165085
Wayne Merrick,0.268729946
Donald Audette,0.268296179
Brian Rafalski,0.26753085
Milan Lucic,0.267476973
Marc Tardif,0.266756084
Joe Juneau,0.266190728
Tomas Plekanec,0.266070571
Gerard Gallant,0.265551107
Bobby Ryan,0.265406661
Dan Boyle,0.265240483
Paul Gardner,0.265129735
Al Secord,0.264740767
Jason Allison,0.264578922
Sergei Samsonov,0.263827157
Lorne Carr,0.26373135
Tom McCarthy,0.263683152
Sylvain Turgeon,0.263541858
Walt Poddubny,0.263438156
Radim Vrbata,0.263400834
Keith Crowder,0.263209868
Reilly Smith,0.262961261
Stu Barnes,0.262851396
Ed Litzenberger,0.262604968
Anders Hedberg,0.262365444
Mike Murphy,0.262303393
Dirk Graham,0.262147171
Mike Fisher,0.262122708
Alex Killorn,0.261926385
Don Marcotte,0.261891173
Tyler Toffoli,0.261855167
Craig MacTavish,0.261330355
Brenden Morrow,0.261307439
Brandon Saad,0.260989112
Eric Vail,0.260778375
Dit Clapper,0.260772877
Andrew Ladd,0.260750055
Carol Vadnais,0.260517424
Ron Stewart,0.260122358
Ab McDonald,0.260104045
Mark Johnson,0.260007984
Benoit Hogue,0.259854695
Ryan Johansen,0.259777141
Wayne Babych,0.259419147
Jaden Schwartz,0.259383325
Keith Acton,0.258991501
Tod Sloan,0.258920168
Martin Rucinsky,0.258657479
Jim Fox,0.258587472
Pete Stemkowski,0.258454012
Andy McDonald,0.258324366
Sid Smith,0.257699136
Ron Greschner,0.256851784
Bobby Bauer,0.256699581
Bryan Hextall,0.256208532
Herb Cain,0.256116582
Rob Brown,0.256071293
Brendan Morrison,0.255731229
Erik Cole,0.25556504
Valtteri Filppula,0.255420828
Billy Harris,0.255315199
Mike Knuble,0.255084791
Charlie Huddy,0.254849118
Michael Ryder,0.25470299
Loui Eriksson,0.254264709
David Backes,0.253886942
Tony Granato,0.253461891
Don Luce,0.253331661
Jack Darragh,0.253175068
Shea Weber,0.252947357
Sergei Makarov,0.252503231
Mark Pavelich,0.252299428
Eric Nesterenko,0.252274825
Gary Leeman,0.252233434
Alex DeBrincat,0.251838989
Walt McKechnie,0.251786433
Rob Ramage,0.251394605
Joel Otto,0.251386228
Jorgen Pettersson,0.251350341
Derek Roy,0.251245901
Sam Reinhart,0.251176092
Guy Charron,0.251170062
Dustin Byfuglien,0.251016791
Brian Bradley,0.250892263
David Legwand,0.250739151
Patrik Laine,0.250613895
Sean Monahan,0.250610822
Kyle Okposo,0.250238495
Eric Desjardins,0.25007373
Mark Giordano,0.250012785
Derick Brassard,0.249921914
Vic Stasiuk,0.249904809
Brock Nelson,0.249738581
Elias Lindholm,0.249139638
Paul Henderson,0.248849053
Michael Peca,0.248775064
Eddie Shack,0.248689256
Jeff Friesen,0.248291967
Gilles Tremblay,0.248154181
P.K. Subban,0.248105189
Ales Hemsky,0.248048276
Ilkka Sinisalo,0.247973663
Tomas Hertl,0.247950632
J-P Dumont,0.247765787
Tyler Johnson,0.247631238
Nathan Horton,0.247409805
Mathew Barzal,0.246920171
Sean Couturier,0.246903509
Yanic Perreault,0.246854708
John Ferguson,0.246848654
Mikael Renberg,0.246264747
Darcy Rota,0.24601224
Adam Deadmarsh,0.245597219
Aaron Broten,0.245581156
Phil Watson,0.245579885
Todd Bergen,0.245565208
Orest Kindrachuk,0.245489481
Laurie Boschman,0.245429633
Alan Haworth,0.245214414
John English,0.245212007
Reijo Ruotsalainen,0.245105666
Mike Keane,0.244945297
Josh Bailey,0.244865005
Cam Atkinson,0.24480222
Jude Drouin,0.244532367
Johan Franzen,0.244052081
Carey Wilson,0.243870656
Mike Hoffman,0.243831629
Tim Horton,0.243734635
Steve Kasper,0.243345337
Pelle Eklund,0.242539376
Jussi Jokinen,0.242535212
Fredrik Olausson,0.242460642
Greg Malone,0.242442553
Lucien DeBlois,0.242365765
Marian Stastny,0.241760826
Doug Jarvis,0.241623393
Lowell MacDonald,0.241253595
Randy Burridge,0.24125025
Dylan Larkin,0.241204967
Dainius Zubrus,0.24109389
Kevin Lowe,0.240947453
Andre Boudrias,0.240036052
Derek Stepan,0.239785103
James Patrick,0.239569902
Patrick Flatley,0.239409752
Hooley Smith,0.239127305
Jiri Hudler,0.239028018
Bo Horvat,0.238691481
Woody Dumart,0.238682214
Teuvo Teravainen,0.238657809
Mark Osborne,0.238551719
Roman Hamrlik,0.23838958
Ron Murphy,0.238240757
Jeff O'Neill,0.238232634
Dennis Hextall,0.23816601
Dave Williams,0.238036526
Bryan Little,0.238031098
Mud Bruneteau,0.23793869
Antoine Vermette,0.237843258
Gaye Stewart,0.237643078
Bill Hay,0.237386251
Martin Erat,0.237384715
Petri Skriko,0.23711753
Ebbie Goodfellow,0.237038319
Andre Savard,0.236809701
Bill Derlago,0.236797397
Ryan Suter,0.236552262
Wayne Simmonds,0.23648651
Nikolaj Ehlers,0.236122936
Mike Sillinger,0.236113365
William Karlsson,0.236075194
Mark Hunter,0.235904192
Travis Zajac,0.235235831
Vincent Trocheck,0.235043477
Joe Carveth,0.235031234
Dave Ellett,0.234986424
Nelson Emerson,0.234647121
Johnny Gottselig,0.234587227
Viktor Kozlov,0.234048853
Brian MacLellan,0.233776792
Chris Gratton,0.233310305
Kristian Huselius,0.233260102
Cliff Koroll,0.233229092
Morris Lukowich,0.23309303
Cooney Weiland,0.233002384
Steve Rucchin,0.232912559
Keith Yandle,0.232877295
Adam Henrique,0.232631218
Brad Boyes,0.232416705
Freddy Modin,0.232371893
Tomas Kaberle,0.232351609
Dave Balon,0.232158365
Bill Flett,0.231953521
Kris Draper,0.231890833
Kimmo Timonen,0.231869773
Brock Boeser,0.231648195
Ron Sutter,0.231624944
Radek Dvorak,0.231462115
Mike McEwen,0.231436203
Eric Daze,0.231049141
Ian Turnbull,0.230950221
Jim Peplinski,0.230890908
John Tucker,0.230793784
Craig Conroy,0.230376188
Stefan Persson,0.230262421
Anders Lee,0.230184365
Mike Mcphee,0.229848181
Mikael Granlund,0.229775592
Fleming MacKell,0.229452699
Michal Handzus,0.229450033
Adam Fox,0.229397578
Bruce MacGregor,0.229374809
Corb Denneny,0.228975776
Bryan Rust,0.22897065
Andrei Markov,0.22886984
Lynn Patrick,0.228688936
Nick Foligno,0.228679043
Roope Hintz,0.228205537
Alexander Radulov,0.22814704
Marco Sturm,0.22813886
Brent Seabrook,0.228114008
Tyler Bozak,0.228071413
Garry Galley,0.228053855
Duane Sutter,0.227935506
Carl Liscombe,0.227841793
Kyle Palmieri,0.227694303
Curt Fraser,0.227618453
Miroslav Frycer,0.227553132
Jacques Laperriere,0.227471616
Kevin Fiala,0.22742055
Milan Michalek,0.227046366
Pavel Buchnevich,0.226674649
Ulf Nilsson,0.226134435
Teppo Numminen,0.226124011
Patrick Sieloff,0.225821788
Pascal Dupuis,0.22581266
Willi Plett,0.225750526
Egor Korshkov,0.225550966
Brad Fast,0.225550966
Rolly Huard,0.225550966
Lucas Condotta,0.225550966
Samuel Henley,0.225550966
Dean Morton,0.225550966
